experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT9310_semilla_ok	20220616 220123	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.238193165843259	0.875638772554521	334	4120	75	0.14787908443696	9394	15566000	1
HT9310_semilla_ok	20220616 220212	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0792440006538527	0.633272555097938	233	75	142	0.0581420811511963	10054	15746000	2
HT9310_semilla_ok	20220616 220229	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.254252924230532	0.583848242013482	666	2260	45	0.116919881003019	10574	15706000	3
HT9310_semilla_ok	20220616 220247	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.192360391301918	0.324366535493755	837	3716	114	0.144252063291086	9422	15658000	4
HT9310_semilla_ok	20220616 220308	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.169954746642616	0.523806448967662	811	6910	111	0.114253752608724	11890	16310000	5
HT9310_semilla_ok	20220616 220323	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.159409624195541	0.260727439245966	456	5228	90	0.120436776350936	11982	15738000	6
HT9310_semilla_ok	20220616 220341	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.111065232579131	0.765891728263523	321	3492	119	0.106432485980191	11126	15754000	7
HT9310_semilla_ok	20220616 220416	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0644171921076486	0.358600895573909	608	4860	462	0.103741350983668	11870	16090000	8
HT9310_semilla_ok	20220616 220435	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0997526926017599	0.777770628820872	730	1013	59	0.13743003540124	9952	15608000	9
HT9310_semilla_ok	20220616 220448	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.29519817415392	0.685149986608303	537	5638	64	0.101637011743472	12082	14438000	10
